"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17677117","GSM6597485: BRCA_27-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209138","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677116","GSM6597484: BRCA_27-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209137","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677115","GSM6597483: BRCA_26-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209136","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677114","GSM6597482: BRCA_26-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209135","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677113","GSM6597481: BRCA_25-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209134","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677112","GSM6597480: BRCA_25-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209133","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677111","GSM6597479: BRCA_24-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209132","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677110","GSM6597478: BRCA_24-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209131","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677109","GSM6597477: BRCA_23-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209130","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677108","GSM6597476: BRCA_23-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209129","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
