Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,nanopore_library_type,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_Line,lineage,Tissue,AvgSpotLen,Bases,Bytes,create_date,version
SRR21678811,RNA-Seq,PRJNA883409,SAMN30965341,GEO,public,nanopore,s3,s3.us-east-1,SRX17677007,GSM6597405,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597405,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678812,RNA-Seq,PRJNA883409,SAMN30965342,GEO,public,nanopore,s3,s3.us-east-1,SRX17677008,GSM6597406,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597406,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678813,RNA-Seq,PRJNA883409,SAMN30965343,GEO,public,nanopore,s3,s3.us-east-1,SRX17677009,GSM6597407,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597407,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678814,RNA-Seq,PRJNA883409,SAMN30965344,GEO,public,nanopore,s3,s3.us-east-1,SRX17677010,GSM6597408,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,xGenLockdown-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597408,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678815,RNA-Seq,PRJNA883409,SAMN30965345,GEO,public,nanopore,s3,s3.us-east-1,SRX17677011,GSM6597409,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,xGenLockdown-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597409,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678816,RNA-Seq,PRJNA883409,SAMN30965346,GEO,public,nanopore,s3,s3.us-east-1,SRX17677012,GSM6597410,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,xGenLockdown-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597410,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678817,RNA-Seq,PRJNA883409,SAMN30965347,GEO,public,nanopore,s3,s3.us-east-1,SRX17677013,GSM6597411,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597411,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678818,RNA-Seq,PRJNA883409,SAMN30965348,GEO,public,nanopore,s3,s3.us-east-1,SRX17677014,GSM6597412,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597412,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678819,RNA-Seq,PRJNA883409,SAMN30965349,GEO,public,nanopore,s3,s3.us-east-1,SRX17677015,GSM6597413,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597413,Human brain total RNA sample,SRP398751,,,Human brain total RNA sample,,,,,
SRR21678820,RNA-Seq,PRJNA883409,SAMN30965350,GEO,public,nanopore,s3,s3.us-east-1,SRX17677016,GSM6597414,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,direct RNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597414,SH-SY5Y,SRP398751,SH-SY5Y,human neuroblastoma,,,,,,
